"UID","date","Province_State","Country_Region","positive","death","positiveIncrease","deathIncrease","iso2","iso3","code3","FIPS","Admin2","Lat","Long_","Combined_Key","Population","interval_start","mean_rt","std_rt","ci_lower","ci_upper"
100,"2020-03-08",NA,"Bulgaria",4,0,4,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-02",25,11.1803398874989,8.1174319505921,51.2079433770185
100,"2020-03-09",NA,"Bulgaria",4,0,0,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-03",5.34858355535055,2.39195928262027,1.73667052170456,10.9555985539857
100,"2020-03-10",NA,"Bulgaria",4,0,0,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-04",2.89514123457864,1.2947465209961,0.940044478361812,5.93016913635097
100,"2020-03-11",NA,"Bulgaria",7,1,3,1,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-05",3.57205954621086,1.26291376396392,1.54216177474559,6.43983190095865
100,"2020-03-12",NA,"Bulgaria",7,1,0,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-06",2.52298852553792,0.892011147631858,1.08924736888377,4.5485305556417
100,"2020-03-13",NA,"Bulgaria",23,1,16,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-07",5.91266629716559,1.20691795395058,3.78835686237075,8.5022399321204
100,"2020-03-14",NA,"Bulgaria",41,2,18,1,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-08",5.51512509860063,0.85100227817409,3.97481706755864,7.30374970667863
100,"2020-03-15",NA,"Bulgaria",51,2,10,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-09",3.29612571081905,0.475754766606056,2.43030289911339,4.29183284811524
100,"2020-03-16",NA,"Bulgaria",52,2,1,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-10",2.26312169577195,0.323303099395992,1.67426988919387,2.9393348923506
100,"2020-03-17",NA,"Bulgaria",67,2,15,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-11",2.35744668677906,0.294680835847382,1.81552120908526,2.96907029063128
100,"2020-03-18",NA,"Bulgaria",92,2,25,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-12",2.529559328449,0.272769397369282,2.02332095089335,3.09146905843094
100,"2020-03-19",NA,"Bulgaria",94,3,2,1,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-13",1.99282162789695,0.212435499318292,1.59830121909945,2.43020472794601
100,"2020-03-20",NA,"Bulgaria",127,3,33,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-14",1.97017910536437,0.192269793264677,1.61141131635732,2.36446649006987
100,"2020-03-21",NA,"Bulgaria",163,3,36,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-15",1.9506500560083,0.175884192336501,1.62118090812154,2.31014328194944
100,"2020-03-22",NA,"Bulgaria",187,3,24,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-16",1.83161509680747,0.156485438394709,1.53776165921029,2.15078104225447
100,"2020-03-23",NA,"Bulgaria",201,3,14,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-17",1.72191990493625,0.140594171501184,1.45738894132607,2.00818604035743
100,"2020-03-24",NA,"Bulgaria",218,3,17,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-18",1.52913650273475,0.124029348288278,1.29570752313496,1.78161336956876
100,"2020-03-25",NA,"Bulgaria",242,3,24,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-19",1.37651522757673,0.11201922055247,1.16571911014936,1.60457158574521
100,"2020-03-26",NA,"Bulgaria",264,3,22,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-20",1.45733440878206,0.111445147628519,1.24708651090587,1.6837195812815
100,"2020-03-27",NA,"Bulgaria",293,3,29,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-21",1.31587271139721,0.101825287513685,1.12386338987145,1.5228017331247
100,"2020-03-28",NA,"Bulgaria",331,7,38,4,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-22",1.25295044882405,0.0963808037556962,1.07116460901867,1.44877451048505
100,"2020-03-29",NA,"Bulgaria",346,8,15,1,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-23",1.13584592661495,0.0897965049781925,0.966665245147029,1.31846829914027
100,"2020-03-30",NA,"Bulgaria",359,8,13,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-24",1.10315283413941,0.0874857104403723,0.938346924015086,1.28109561100256
100,"2020-03-31",NA,"Bulgaria",399,8,40,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-25",1.24583789741022,0.0923476490125827,1.07140793406804,1.43322975031396
100,"2020-04-01",NA,"Bulgaria",422,10,23,2,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-26",1.18970188100346,0.0884298443929116,1.02268959197858,1.36916037040342
100,"2020-04-02",NA,"Bulgaria",457,10,35,0,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-27",1.22687556542129,0.0880845321802965,1.06029871888551,1.40542774530691
100,"2020-04-03",NA,"Bulgaria",485,14,28,4,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-28",1.1722464568652,0.084380146341092,1.01269019846094,1.34330408610853
100,"2020-04-04",NA,"Bulgaria",503,17,18,3,"BG","BGR",100,NA,NA,42.7339,25.4858,"Bulgaria",6948445,"2020-03-29",1.0161268835275,0.0772546963769617,0.870348011232814,1.17302745234664
