stateName,date,positiveIncrease,deathIncrease,positive,death,population,interval_start,mean_rt,std_rt
Alabama,2020-03-08,0,0,0,0,4903185,2020-03-02,5,5
Alabama,2020-03-09,0,0,0,0,4903185,2020-03-03,5,5
Alabama,2020-03-10,0,0,0,0,4903185,2020-03-04,5,5
Alabama,2020-03-11,0,0,0,0,4903185,2020-03-05,5,5
Alabama,2020-03-12,0,0,0,0,4903185,2020-03-06,5,5
Alabama,2020-03-13,5,0,5,0,4903185,2020-03-07,30,12.2474487139159
Alabama,2020-03-14,2,0,7,0,4903185,2020-03-08,7.1522209622313,2.52869197146916
Alabama,2020-03-15,4,0,11,0,4903185,2020-03-09,4.84612973113375,1.39895715239896
Alabama,2020-03-16,18,0,29,0,4903185,2020-03-10,7.06239947215902,1.28941183367136
Alabama,2020-03-17,10,0,39,0,4903185,2020-03-11,4.40615588096876,0.696674415480351
Alabama,2020-03-18,12,0,51,0,4903185,2020-03-12,3.34395776931863,0.46372350770248
Alabama,2020-03-19,27,0,78,0,4903185,2020-03-13,3.45583033430692,0.388811289678186
Alabama,2020-03-20,28,0,106,0,4903185,2020-03-14,3.01488884696837,0.298518478417351
Alabama,2020-03-21,25,0,131,0,4903185,2020-03-15,2.61886179238633,0.234238119658111
Alabama,2020-03-22,26,0,157,0,4903185,2020-03-16,2.32194676824871,0.191510941670339
Alabama,2020-03-23,39,0,196,0,4903185,2020-03-17,2.09842253549497,0.16189681343141
Alabama,2020-03-24,46,0,242,0,4903185,2020-03-18,2.09202089841962,0.146470759971369
Alabama,2020-03-25,139,1,381,1,4903185,2020-03-19,2.79868851644623,0.153829833124717
Alabama,2020-03-26,136,0,517,1,4903185,2020-03-20,2.76380887280142,0.131759418202059
Alabama,2020-03-27,70,3,587,4,4903185,2020-03-21,2.21934805632989,0.101088533925228
Alabama,2020-03-28,107,0,694,4,4903185,2020-03-22,2.06806484608768,0.0870812391511439
Alabama,2020-03-29,131,6,825,10,4903185,2020-03-23,2.0268630876771,0.0783630542750749
Alabama,2020-03-30,74,0,899,10,4903185,2020-03-24,1.77299500853222,0.0668222636190267
Alabama,2020-03-31,88,13,987,23,4903185,2020-03-25,1.62388603200175,0.0594546918413023
Alabama,2020-04-01,73,4,1060,27,4903185,2020-03-26,1.32067173402003,0.0506454490876856
Alabama,2020-04-02,173,5,1233,32,4903185,2020-03-27,1.3098548792633,0.0489174268635239
Alabama,2020-04-03,262,6,1495,38,4903185,2020-03-28,1.58039769434376,0.0524184827064719
Alabama,2020-04-04,119,6,1614,44,4903185,2020-03-29,1.44736641685402,0.0476923449430177
Alabama,2020-04-05,151,1,1765,45,4903185,2020-03-30,1.35048639289546,0.0440245982033547
Alabama,2020-04-06,187,4,1952,49,4903185,2020-03-31,1.41706556693757,0.0436485317888767
Alabama,2020-04-07,217,15,2169,64,4903185,2020-04-01,1.475716620185,0.042905265743014
Alabama,2020-04-08,159,2,2328,66,4903185,2020-04-02,1.44779241687046,0.0406420388390998
Alabama,2020-04-09,375,4,2703,70,4903185,2020-04-03,1.5397903113725,0.040147198591214
Alabama,2020-04-10,244,10,2947,80,4903185,2020-04-04,1.37681301504338,0.0361195354141775
Alabama,2020-04-11,270,12,3217,92,4903185,2020-04-05,1.40850799169155,0.0351687662757518
Alabama,2020-04-12,346,1,3563,93,4903185,2020-04-06,1.46794203294077,0.0346093405706949
Alabama,2020-04-13,171,6,3734,99,4903185,2020-04-07,1.33309781066199,0.0315708550006064
Alabama,2020-04-14,219,15,3953,114,4903185,2020-04-08,1.24876875157686,0.0295571742860006
Alabama,2020-04-15,122,4,4075,118,4903185,2020-04-09,1.16865378499714,0.0279521459857844
Alabama,2020-04-16,270,15,4345,133,4903185,2020-04-10,1.06606823574782,0.0263006342451737
Alabama,2020-04-17,226,15,4571,148,4903185,2020-04-11,1.04415726014298,0.025902353726246
Alabama,2020-04-18,141,5,4712,153,4903185,2020-04-12,0.958255787545485,0.0247751135803126
Alabama,2020-04-19,176,4,4888,157,4903185,2020-04-13,0.858569158002333,0.0235778131365546
Alabama,2020-04-20,191,6,5079,163,4903185,2020-04-14,0.900224816207174,0.0245373948131495
Alabama,2020-04-21,238,20,5317,183,4903185,2020-04-15,0.937741241337289,0.025381465299232
Alabama,2020-04-22,276,13,5593,196,4903185,2020-04-16,1.05838892632033,0.0271560375390797
Alabama,2020-04-23,239,6,5832,202,4903185,2020-04-17,1.02654190069941,0.026611859091051
Alabama,2020-04-24,194,7,6026,209,4903185,2020-04-18,0.995039308956916,0.0260771154880448
Alabama,2020-04-25,0,0,6026,209,4903185,2020-04-19,0.89928802347892,0.0247991007621317
Alabama,2020-04-26,395,10,6421,219,4903185,2020-04-20,1.06989529478623,0.0273167229347557
Alabama,2020-04-27,118,9,6539,228,4903185,2020-04-21,1.01117990642811,0.0264547293653379
Alabama,2020-04-28,211,14,6750,242,4903185,2020-04-22,0.984936770346873,0.0260096061213295
Alabama,2020-04-29,162,14,6912,256,4903185,2020-04-23,0.90996663865589,0.0250460074158492
Alabama,2020-04-30,176,16,7088,272,4903185,2020-04-24,0.882118223259586,0.024880502950178
Alabama,2020-05-01,206,17,7294,289,4903185,2020-04-25,0.914256531589809,0.0256647631475323
Alabama,2020-05-02,317,-1,7611,288,4903185,2020-04-26,1.16522055519692,0.0292588023880634
Alabama,2020-05-03,277,2,7888,290,4903185,2020-04-27,1.04760377460971,0.0273422359524185
Alabama,2020-05-04,224,8,8112,298,4903185,2020-04-28,1.10195046443354,0.0277753607463593
Alabama,2020-05-05,325,17,8437,315,4903185,2020-04-29,1.16090687875003,0.0282560313270658
Alabama,2020-05-06,254,28,8691,343,4903185,2020-04-30,1.18499081908538,0.0280869760824976
Alabama,2020-05-07,355,26,9046,369,4903185,2020-05-01,1.25567048165453,0.028369943244264
Alabama,2020-05-08,339,14,9385,383,4903185,2020-05-02,1.27572985039599,0.027891885741994
Alabama,2020-05-09,283,7,9668,390,4903185,2020-05-03,1.18732900682984,0.0261726918944298
Alabama,2020-05-10,221,3,9889,393,4903185,2020-05-04,1.11088247239748,0.0248276764965985
Alaska,2020-03-08,0,0,0,0,731545,2020-03-02,5,5
Alaska,2020-03-09,0,0,0,0,731545,2020-03-03,5,5
Alaska,2020-03-10,0,0,0,0,731545,2020-03-04,5,5
Alaska,2020-03-11,0,0,0,0,731545,2020-03-05,5,5
Alaska,2020-03-12,0,0,0,0,731545,2020-03-06,5,5
Alaska,2020-03-13,1,0,1,0,731545,2020-03-07,10,7.07106781186548
Alaska,2020-03-14,0,0,1,0,731545,2020-03-08,5.21231403354432,3.68566259879299
Alaska,2020-03-15,0,0,1,0,731545,2020-03-09,3.43785639752253,2.43093157143374
Alaska,2020-03-16,0,0,1,0,731545,2020-03-10,2.81729392244855,1.99212763715902
Alaska,2020-03-17,2,0,3,0,731545,2020-03-11,4.96937221465047,2.48468610732523
Alaska,2020-03-18,2,0,5,0,731545,2020-03-12,4.81592845804913,1.96609455999482
Alaska,2020-03-19,3,0,8,0,731545,2020-03-13,4.35301664187717,1.45100554729239
Alaska,2020-03-20,3,0,11,0,731545,2020-03-14,3.31558372300468,0.999686106383288
Alaska,2020-03-21,2,0,13,0,731545,2020-03-15,2.72919242526151,0.756941786914486
Alaska,2020-03-22,5,0,18,0,731545,2020-03-16,2.86664862002319,0.675675559499152
Alaska,2020-03-23,12,0,30,0,731545,2020-03-17,3.56140239709558,0.65022014308074
Alaska,2020-03-24,4,0,34,0,731545,2020-03-18,2.55681790207889,0.451985819204786
Alaska,2020-03-25,7,1,41,1,731545,2020-03-19,2.22922958578075,0.366483086373497
Alaska,2020-03-26,15,0,56,1,731545,2020-03-20,2.39263796547132,0.34180542363876
Alaska,2020-03-27,2,0,58,1,731545,2020-03-21,1.85436900860922,0.267655111574358
Alaska,2020-03-28,27,1,85,2,731545,2020-03-22,2.39784524326016,0.280646558069954
Alaska,2020-03-29,17,0,102,2,731545,2020-03-23,2.22363632030926,0.24118722249344
Alaska,2020-03-30,12,1,114,3,731545,2020-03-24,1.77568192954951,0.192599746958745
Alaska,2020-03-31,5,0,119,3,731545,2020-03-25,1.55158132529192,0.167311317156894
Alaska,2020-04-01,13,0,132,3,731545,2020-03-26,1.50528747923764,0.156937068360344
Alaska,2020-04-02,11,0,143,3,731545,2020-03-27,1.31951644132068,0.140660925266288
